1,1686,MIL,Dume,Ankole,Brown + White,Active,
2,1687,MIL,Dume,Ankole,Brown + White,Active,
3,1693,MIL,Dume,Ankole,Black + White,Active,
4,1694,MIL,Dume,Ankole,Brown + White,Active,
5,1695,MIL,Jike,Ankole,Brown + White,Active,
6,1685,MIL,Jike,Ankole,Brown + White,Active,
7,1684,MIL,Jike,Ankole,Brown + White,Active,
8,1683,MIL,Jike,Ankole,Brown + White,Active,
9,1682,MIL,Jike,Ankole,Brown + White,Active,
10,1681,MIL,Jike,Ankole,Brown + White,Active,
11,1276,MIL,Dume,Ayshire,Brown + White,Active,
12,1278,MIL,Dume,Ayshire,Brown + White,Active,
13,1286,MIL,Dume,Ayshire,Brown + White,Active,
14,1302,MIL,Dume,Ayshire,Brown + White,Active,
15,1307,MIL,Dume,Ayshire,Brown,Active,
16,1308,MIL,Dume,Ayshire,Brown,Active,
17,1309,MIL,Dume,Ayshire,Brown,Active,
18,1318,MIL,Dume,Ayshire,Brown + White,Active,
19,1319,MIL,Dume,Ayshire,Brown + White,Active,
20,1329,MIL,Dume,Ayshire,Black,Active,
21,1332,MIL,Dume,Ayshire,Brown,Active,
22,1334,MIL,Dume,Ayshire,Brown + White,Active,
23,1335,MIL,Dume,Ayshire,Brown + White,Active,
24,1339,MIL,Dume,Ayshire,Brown,Active,
25,1340,MIL,Dume,Ayshire,Brown + White,Active,
26,1349,MIL,Dume,Ayshire,Black,Active,
27,1353,MIL,Dume,Ayshire,Brown + White,Active,
28,1355,MIL,Dume,Ayshire,Brown + White,Active,
29,1362,MIL,Dume,Ayshire,Brown,Active,
30,1364,MIL,Dume,Ayshire,Brown + White,Active,
31,1365,MIL,Dume,Ayshire,Brown + White,Active,
32,1366,MIL,Dume,Ayshire,Red + White,Active,
33,1369,MIL,Dume,Ayshire,Brown,Active,
34,1377,MIL,Dume,Ayshire,Brown + White,Active,
35,1378,MIL,Dume,Ayshire,Brown + White,Active,
36,1380,MIL,Dume,Ayshire,Brown + White,Active,
37,1381,MIL,Dume,Ayshire,Brown + White,Active,
38,1382,MIL,Dume,Ayshire,Brown + White,Active,
39,1383,MIL,Dume,Ayshire,Brown + White,Active,
40,1384,MIL,Dume,Ayshire,Brown + White,Active,
41,1385,MIL,Dume,Ayshire,Brown + White,Active,
42,1386,MIL,Dume,Ayshire,Brown + White,Active,
43,1387,MIL,Dume,Ayshire,Brown + White,Active,
44,1388,MIL,Dume,Ayshire,Brown + White,Active,
45,1396,MIL,Dume,Ayshire,Brown + White,Active,
46,1400,MIL,Dume,Ayshire,Brown + White,Active,
47,1401,MIL,Dume,Ayshire,Brown + White,Active,
48,1409,MIL,Dume,Ayshire,Brown + White,Active,
49,1424,MIL,Dume,Ayshire,Brown + White,Active,
50,1427,MIL,Dume,Ayshire,Brown + White,Active,
51,1440,MIL,Dume,Ayshire,Brown + White,Active,
52,1445,MIL,Dume,Ayshire,Brown,Active,
53,1456,MIL,Dume,Ayshire,Black + White,Active,
54,1468,MIL,Dume,Ayshire,,Active,
55,1472,MIL,Dume,Ayshire,Brown,Active,
56,1474,MIL,Dume,Ayshire,Black + White,Active,
57,1475,MIL,Dume,Ayshire,Black + White,Active,
58,1479,MIL,Dume,Ayshire,Brown,Active,
59,1480,MIL,Dume,Ayshire,Black + White,Active,
60,1689,MIL,Dume,Ayshire,Brown + White,Active,
61,1691,MIL,Dume,Ayshire,Brown + White,Active,
62,1697,MIL,Dume,Ayshire,Brown + White,Active,
63,1698,MIL,Dume,Ayshire,Brown + White,Active,
64,1703,MIL,Dume,Ayshire,Brown + White,Active,
65,1704,MIL,Dume,Ayshire,Brown + White,Active,
66,1706,MIL,Dume,Ayshire,Brown + White,Active,
67,1711,MIL,Dume,Ayshire,Brown + White,Active,
68,1712,MIL,Dume,Ayshire,Brown + White,Active,
69,1717,MIL,Dume,Ayshire,Brown + White,Active,
70,1718,MIL,Jike,Ayshire,Brown + White,Active,
71,1710,MIL,Jike,Ayshire,Brown + White,Active,
72,1708,MIL,Jike,Ayshire,Brown + White,Active,
73,1707,MIL,Jike,Ayshire,Brown + White,Active,
74,1705,MIL,Jike,Ayshire,Brown + White,Active,
75,1700,MIL,Jike,Ayshire,Brown + White,Active,
76,1690,MIL,Jike,Ayshire,Brown + White,Active,
77,1478,MIL,Jike,Ayshire,Brown + White,Active,
78,1477,MIL,Jike,Ayshire,Brown + White,Active,
79,1476,MIL,Jike,Ayshire,Brown + White,Active,
80,1473,MIL,Jike,Ayshire,Brown,Active,
81,1471,MIL,Jike,Ayshire,Brown,Active,
82,1470,MIL,Jike,Ayshire,Brown + White,Active,
83,1469,MIL,Jike,Ayshire,Brown + White,Active,
84,1467,MIL,Jike,Ayshire,Brown,Active,
85,1466,MIL,Jike,Ayshire,,Active,
86,1464,MIL,Jike,Ayshire,Black + White,Active,
87,1463,MIL,Jike,Ayshire,Brown + White,Active,
88,1462,MIL,Jike,Ayshire,Brown + White,Active,
89,1461,MIL,Jike,Ayshire,Black + White,Active,
90,1460,MIL,Jike,Ayshire,Black + White,Active,
91,1459,MIL,Jike,Ayshire,Brown,Active,
92,1458,MIL,Jike,Ayshire,Brown + White,Active,
93,1457,MIL,Jike,Ayshire,Brown + White,Active,
94,1455,MIL,Jike,Ayshire,Brown,Active,
95,1454,MIL,Jike,Ayshire,Brown,Active,
96,1453,MIL,Jike,Ayshire,Brown + White,Active,
97,1451,MIL,Jike,Ayshire,Brown + White,Active,
98,1450,MIL,Jike,Ayshire,Brown + White,Active,
99,1447,MIL,Jike,Ayshire,Brown + White,Active,
100,1444,MIL,Jike,Ayshire,Brown + White,Active,
101,1443,MIL,Jike,Ayshire,Brown + White,Active,
102,1439,MIL,Jike,Ayshire,Brown + White,Active,
103,1437,MIL,Jike,Ayshire,Brown + White,Active,
104,1436,MIL,Jike,Ayshire,Brown + White,Active,
105,1431,MIL,Jike,Ayshire,Brown + White,Active,
106,1430,MIL,Jike,Ayshire,Brown,Active,
107,1429,MIL,Jike,Ayshire,Brown,Active,
108,1428,MIL,Jike,Ayshire,Brown + White,Active,
109,1426,MIL,Jike,Ayshire,Brown + White,Active,
110,1425,MIL,Jike,Ayshire,Brown + White,Active,
111,1420,MIL,Jike,Ayshire,Brown + White,Active,
112,1418,MIL,Jike,Ayshire,Brown + White,Active,
113,1416,MIL,Jike,Ayshire,Brown + White,Active,
114,1415,MIL,Jike,Ayshire,Brown + White,Active,
115,1413,MIL,Jike,Ayshire,Brown + White,Active,
116,1410,MIL,Jike,Ayshire,Brown + White,Active,
117,1408,MIL,Jike,Ayshire,Brown + White,Active,
118,1407,MIL,Jike,Ayshire,Brown + White,Active,
119,1405,MIL,Jike,Ayshire,Brown + White,Active,
120,1403,MIL,Jike,Ayshire,Brown + White,Active,
121,1397,MIL,Jike,Ayshire,Brown,Active,
122,1395,MIL,Jike,Ayshire,Brown + White,Active,
123,1392,MIL,Jike,Ayshire,Brown + White,Active,
124,1391,MIL,Jike,Ayshire,Brown,Active,
125,1390,MIL,Jike,Ayshire,Brown,Active,
126,1389,MIL,Jike,Ayshire,Brown,Active,
127,1375,MIL,Jike,Ayshire,Brown + White,Active,
128,1373,MIL,Jike,Ayshire,Brown + White,Active,
129,1367,MIL,Jike,Ayshire,Brown + White,Active,
130,1363,MIL,Jike,Ayshire,Brown + White,Active,
131,1360,MIL,Jike,Ayshire,Brown,Active,
132,1359,MIL,Jike,Ayshire,Brown + White,Active,
133,1358,MIL,Jike,Ayshire,Brown + White,Active,
134,1357,MIL,Jike,Ayshire,Brown,Active,
135,1356,MIL,Jike,Ayshire,Brown + White,Active,
136,1352,MIL,Jike,Ayshire,Brown + White,Active,
137,1351,MIL,Jike,Ayshire,Brown,Active,
138,1348,MIL,Jike,Ayshire,Brown + White,Active,
139,1347,MIL,Jike,Ayshire,Red + White,Active,
140,1346,MIL,Jike,Ayshire,Brown,Active,
141,1345,MIL,Jike,Ayshire,Brown + White,Active,
142,1344,MIL,Jike,Ayshire,Brown + White,Active,
143,1343,MIL,Jike,Ayshire,Brown,Active,
144,1342,MIL,Jike,Ayshire,Brown + White,Active,
145,1337,MIL,Jike,Ayshire,Brown,Active,
146,1336,MIL,Jike,Ayshire,Brown + White,Active,
147,1333,MIL,Jike,Ayshire,Brown + White,Active,
148,1331,MIL,Jike,Ayshire,Brown,Active,
149,1327,MIL,Jike,Ayshire,Brown + White,Active,
150,1326,MIL,Jike,Ayshire,Brown + White,Active,
151,1324,MIL,Jike,Ayshire,Brown + White,Active,
152,1320,MIL,Jike,Ayshire,Brown + White,Active,
153,1317,MIL,Jike,Ayshire,Brown + White,Active,
154,1315,MIL,Jike,Ayshire,Brown + White,Active,
155,1314,MIL,Jike,Ayshire,Brown,Active,
156,1312,MIL,Jike,Ayshire,Brown + White,Active,
157,1311,MIL,Jike,Ayshire,Brown + White,Active,
158,1310,MIL,Jike,Ayshire,Brown,Active,
159,1306,MIL,Jike,Ayshire,Brown + White,Active,
160,1305,MIL,Jike,Ayshire,Brown,Active,
161,1304,MIL,Jike,Ayshire,Brown,Active,
162,1303,MIL,Jike,Ayshire,Brown,Active,
163,1301,MIL,Jike,Ayshire,Brown + White,Active,
164,1300,MIL,Jike,Ayshire,Brown + White,Active,
165,1299,MIL,Jike,Ayshire,Brown,Active,
166,1297,MIL,Jike,Ayshire,Brown,Active,
167,1294,MIL,Jike,Ayshire,Brown,Active,
168,1293,MIL,Jike,Ayshire,Brown,Active,
169,1292,MIL,Jike,Ayshire,Brown,Active,
170,1290,MIL,Jike,Ayshire,Brown + White,Active,
171,1289,MIL,Jike,Ayshire,Brown + White,Active,
172,1285,MIL,Jike,Ayshire,Brown + White,Active,
173,1283,MIL,Jike,Ayshire,Brown,Active,
174,1280,MIL,Jike,Ayshire,Brown + White,Active,
175,1277,MIL,Jike,Ayshire,Brown,Active,
176,1330,MIL,Dume,Friesian,Black + White,Active,
177,1341,MIL,Dume,Friesian,Black + White,Active,
178,1361,MIL,Dume,Friesian,Black + White,Active,
179,1372,MIL,Dume,Friesian,Black + White,Active,
180,1374,MIL,Dume,Friesian,Black + White,Active,
181,1379,MIL,Dume,Friesian,Black + White,Active,
182,1422,MIL,Dume,Friesian,Black + White,Active,
183,1696,MIL,Dume,Friesian,Black + White,Active,
184,1701,MIL,Dume,Friesian,Black + White,Active,
185,1702,MIL,Dume,Friesian,Black + White,Active,
186,1713,MIL,Dume,Friesian,Black + White,Active,
187,1716,MIL,Dume,Friesian,Black + White,Active,
188,1720,MIL,Dume,Friesian,Black + White,Active,
189,1715,MIL,Jike,Friesian,Black + White,Active,
190,1714,MIL,Jike,Friesian,Black + White,Active,
191,1699,MIL,Jike,Friesian,Black + White,Active,
192,1692,MIL,Jike,Friesian,Black +White,Active,
193,1465,MIL,Jike,Friesian,Black + White,Active,
194,1452,MIL,Jike,Friesian,Black + White,Active,
195,1449,MIL,Jike,Friesian,Black + White,Active,
196,1446,MIL,Jike,Friesian,Black + White,Active,
197,1441,MIL,Jike,Friesian,Black + White,Active,
198,1438,MIL,Jike,Friesian,Black + White,Active,
199,1435,MIL,Jike,Friesian,Black + White,Active,
200,1434,MIL,Jike,Friesian,Black + White,Active,
201,1433,MIL,Jike,Friesian,Black + White,Active,
202,1432,MIL,Jike,Friesian,Black + White,Active,
203,1423,MIL,Jike,Friesian,Black + White,Active,
204,1417,MIL,Jike,Friesian,Black + White,Active,
205,1414,MIL,Jike,Friesian,Black + White,Active,
206,1412,MIL,Jike,Friesian,Black + White,Active,
207,1411,MIL,Jike,Friesian,Black + White,Active,
208,1406,MIL,Jike,Friesian,Black + White,Active,
209,1404,MIL,Jike,Friesian,Black + White,Active,
210,1402,MIL,Jike,Friesian,Black + White,Active,
211,1399,MIL,Jike,Friesian,Black + White,Active,
212,1398,MIL,Jike,Friesian,Black + White,Active,
213,1393,MIL,Jike,Friesian,Black + White,Active,
214,1376,MIL,Jike,Friesian,Black + White,Active,
215,1370,MIL,Jike,Friesian,Black + White,Active,
216,1368,MIL,Jike,Friesian,Black + White,Active,
217,1316,MIL,Jike,Friesian,Black + White,Active,
218,1313,MIL,Jike,Friesian,Black + White,Active,
219,1298,MIL,Jike,Friesian,Black + White,Active,
220,1296,MIL,Jike,Friesian,Black + White,Active,
221,1291,MIL,Jike,Friesian,Black + White,Active,
222,1288,MIL,Jike,Friesian,Black + White,Active,
223,1287,MIL,Jike,Friesian,Black + White,Active,
224,1284,MIL,Jike,Friesian,Black + White,Active,
225,1282,MIL,Jike,Friesian,Black + White,Active,
226,1281,MIL,Jike,Friesian,Black + White,Active,
227,1279,MIL,Jike,Friesian,Black + White,Active,
228,1688,MIL,Dume,Jersey,Grey,Active,
229,1295,MIL,Jike,Other Bovine,Other,Active,
230,1371,MIL,Jike,Friesian,Black + White,Slaughtered,2018-12-23
231,1350,MIL,Dume,Ayshire,Brown + White,Sold,2018-12-28
232,1719,MIL,Dume,Ayshire,Brown + White,Sold,2018-12-28
233,1448,MIL,Jike,Ayshire,Brown,Sold,2018-12-29
234,1354,MIL,Jike,Ayshire,Brown + White,Sold,2018-12-23